SYMBOL,LTP,Size,Sub-Size,Index,Sector
BHARTIARTL,1403.75,Large-Cap,,Nifty 50,Telecommunications
LTIM,5122.00,Large-Cap,,Nifty 50,IT Enabled Services
HINDALCO,684.00,Large-Cap,PSU,Nifty 50,Metals
SHRIRAMFIN,2827.55,Large-Cap,,Nifty 50,NBFC'S
TATASTEEL,179.94,Large-Cap,TATA,Nifty 50,Metals
INFY,1525.10,Large-Cap,,Nifty 50,IT Enabled Services
SBILIFE,1463.35,Large-Cap,PSU,Nifty 50,Insurance
ADANIPORTS,1475.95,Large-Cap,ADANI,Nifty 50,Shipping
TCS,3802.00,Large-Cap,TATA,Nifty 50,IT Enabled Services
DRREDDY,5992.00,Large-Cap,,Nifty 50,Pharma
DIVISLAB,4520.00,Large-Cap,,Nifty 50,Pharma
JSWSTEEL,932.70,Large-Cap,,Nifty 50,Metals
WIPRO,491.60,Large-Cap,,Nifty 50,IT Enabled Services
KOTAKBANK,1770.00,Large-Cap,,Nifty 50,Financial Services(Bank)
NTPC,358.40,Large-Cap,PSU,Nifty 50,Power
MARUTI,12167.00,Large-Cap,,Nifty 50,Auto
POWERGRID,324.90,Large-Cap,PSU,Nifty 50,Power
ICICIBANK,1157.50,Large-Cap,,Nifty 50,Financial Services(Bank)
APOLLOHOSP,6172.00,Large-Cap,,Nifty 50,Pharma
TECHM,1392.00,Large-Cap,,Nifty 50,IT Enabled Services
INDUSINDBK,1524.90,Large-Cap,,Nifty 50,Financial Services(Bank)
HCLTECH,1440.45,Large-Cap,,Nifty 50,IT Enabled Services
SUNPHARMA,1466.85,Large-Cap,,Nifty 50,Pharma
BAJAJFINSV,1579.90,Large-Cap,,Nifty 50,NBFC'S
HDFCBANK,1661.65,Large-Cap,,Nifty 50,Financial Services(Bank)
BAJAJ-AUTO,9587.00,Large-Cap,,Nifty 50,Auto
CIPLA,1537.25,Large-Cap,,Nifty 50,Pharma
COALINDIA,480.40,Large-Cap,PSU,Nifty 50,Minning
AXISBANK,1232.10,Large-Cap,,Nifty 50,Financial Services(Bank)
ONGC,270.00,Large-Cap,PSU,Nifty 50,Gas & Petroleum
BRITANNIA,5335.00,Large-Cap,,Nifty 50,FMCG
BAJFINANCE,7113.00,Large-Cap,,Nifty 50,NBFC'S
ITC,419.70,Large-Cap,,Nifty 50,FMCG
EICHERMOT,4830.30,Large-Cap,,Nifty 50,Auto
HEROMOTOCO,5450.00,Large-Cap,,Nifty 50,Auto
ASIANPAINT,2886.00,Large-Cap,,Nifty 50,Paint
TITAN,3400.05,Large-Cap,,Nifty 50,Gems and Jewellery
SBIN,834.45,Large-Cap,PSU,Nifty 50,Financial Services(Bank)
HDFCLIFE,581.50,Large-Cap,,Nifty 50,Insurance
RELIANCE,2912.00,Large-Cap,,Nifty 50,Gas & Petroleum
GRASIM,2468.00,Large-Cap,,Nifty 50,Paint
M&M,2834.65,Large-Cap,,Nifty 50,Auto
BPCL,308.30,Large-Cap,PSU,Nifty 50,Gas & Petroleum
HINDUNILVR,2443.50,Large-Cap,,Nifty 50,FMCG
TATACONSUM,1085.00,Large-Cap,TATA,Nifty 50,FMCG
TATAMOTORS,960.00,Large-Cap,TATA,Nifty 50,Auto
NESTLEIND,2491.40,Large-Cap,,Nifty 50,FMCG
LT,3524.00,Large-Cap,,Nifty 50,Infrastructure
ADANIENT,3192.80,Large-Cap,ADANI,Nifty 50,Diversified Business
ULTRACEMCO,10638.80,Large-Cap,,Nifty 50,Cement
SUZLON,53.05,Mid-Cap,,Midcap 50,Power
IDEA,17.10,Mid-Cap,,Midcap 50,Telecommunications
ESCORTS,4310.00,Mid-Cap,,Midcap 50,Auto
ASTRAL,2272.00,Mid-Cap,,Midcap 50,Cables-Pipes
JUBLFOOD,550.00,Mid-Cap,,Midcap 50,Food-Industry
POLYCAB,7095.00,Mid-Cap,,Midcap 50,Cables-Pipes
PETRONET,320.00,Mid-Cap,,Midcap 50,Power
PERSISTENT,3940.00,Mid-Cap,,Midcap 50,IT Enabled Services
COFORGE,5370.05,Mid-Cap,,Midcap 50,IT Enabled Services
CUMMINSIND,3895.00,Mid-Cap,,Midcap 50,Industrial Consumables
GMRINFRA,97.80,Mid-Cap,,Midcap 50,Infrastructure
SAIL,155.20,Mid-Cap,,Midcap 50,Minning
PAGEIND,39810.00,Mid-Cap,,Midcap 50,Consumer-Durables
LUPIN,1565.00,Mid-Cap,,Midcap 50,Pharma
BHEL,294.80,Mid-Cap,PSU,Midcap 50,Industrial Consumables
DIXON,11525.60,Mid-Cap,,Midcap 50,Industrial Consumables
HDFCAMC,3904.50,Mid-Cap,,Midcap 50,Assest-Management
BANDHANBNK,208.81,Mid-Cap,PSU,Midcap 50,Financial Services(Bank)
MPHASIS,2424.00,Mid-Cap,,Midcap 50,Pharma
INDUSTOWER,336.35,Mid-Cap,,Midcap 50,Telecommunications
AUBANK,666.00,Mid-Cap,,Midcap 50,Financial Services(Bank)
LTTS,4867.50,Mid-Cap,,Midcap 50,IT Enabled Services
OFSS,9720.90,Mid-Cap,,Midcap 50,IT Enabled Services
MFSL,985.40,Mid-Cap,,Midcap 50,IT Enabled Services
AUROPHARMA,1240.00,Mid-Cap,,Midcap 50,Pharma
INDHOTEL,636.30,Mid-Cap,,Midcap 50,Tourism & Hospitality
GODREJPROP,2999.60,Mid-Cap,,Midcap 50,Real-Estate
M&MFIN,306.00,Mid-Cap,,Midcap 50,NBFC'S
YESBANK,23.87,Mid-Cap,,Midcap 50,Financial Services(Bank)
LTF,182.94,Mid-Cap,,Midcap 50,NBFC'S
ASHOKLEY,235.70,Mid-Cap,,Midcap 50,Auto
CONCOR,1090.00,Mid-Cap,PSU,Midcap 50,Shipping
IDFCFIRSTB,83.35,Mid-Cap,,Midcap 50,Financial Services(Bank)
UPL,565.20,Mid-Cap,,Midcap 50,Pesticides/Agro Chemicals
OBEROIRLTY,1876.05,Mid-Cap,,Midcap 50,Real-Estate
MAXHEALTH,928.00,Mid-Cap,,Midcap 50,Pharma
MRF,125065.50,Mid-Cap,,Midcap 50,Tyre
PIIND,3736.10,Mid-Cap,,Midcap 50,Chemical
ALKEM,5104.75,Mid-Cap,,Midcap 50,Pharma
TATACOMM,1844.95,Mid-Cap,TATA,Midcap 50,Telecommunications
ABCAPITAL,239.90,Mid-Cap,,Midcap 50,Assest-Management
FEDERALBNK,176.58,Mid-Cap,,Midcap 50,Financial Services(Bank)
NMDC,269.70,Mid-Cap,PSU,Midcap 50,Minning
ACC,2586.70,Mid-Cap,,Midcap 50,Cement
GUJGASLTD,598.00,Mid-Cap,PSU,Midcap 50,Gas & Petroleum
BHARATFORG,1755.00,Mid-Cap,,Midcap 50,Defence
HINDPETRO,341.50,Mid-Cap,PSU,Midcap 50,Gas & Petroleum
DALBHARAT,1816.95,Mid-Cap,,Midcap 50,Cement
BALKRISIND,3217.95,Mid-Cap,,Midcap 50,Tyre
TIINDIA,3990.00,Mid-Cap,,Midcap 50,Holding Company
ZENSARTECH,758.00,Small-Cap,,Small-Cap 50,IT Enabled Services
RAYMOND,2521.50,Small-Cap,,Small-Cap 50,Consumer-Durables
PVRINOX,1431.05,Small-Cap,,Small-Cap 50,Media & Entertainment
HAPPSTMNDS,906.70,Small-Cap,,Small-Cap 50,IT Enabled Services
RKFORGE,895.00,Small-Cap,,Small-Cap 50,Industrial Consumables
NATCOPHARM,1201.95,Small-Cap,,Small-Cap 50,Pharma
ANGELONE,2625.80,Small-Cap,,Small-Cap 50,Assest-Management
INDIAMART,2658.00,Small-Cap,,Small-Cap 50,IT Enabled Services
NAM-INDIA,663.35,Small-Cap,,Small-Cap 50,Assest-Management
NATIONALUM,193.80,Small-Cap,,Small-Cap 50,Metals
CYIENT,1875.00,Small-Cap,,Small-Cap 50,Consumer-Durables
